xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,subType,scoreDiff,shotPct,clutchFlag
-7,13,1,1,1,Driving Finger Roll Layup Shot,3.0,0.444,1
-23,83,9,1,1,Turnaround Fadeaway shot,-3.0,0.526,1
-228,-15,0,0,1,Jump Shot,1.0,0.314,1
228,9,0,0,1,Jump Shot,3.0,0.316,1
-5,13,1,1,1,Floating Jump shot,-3.0,0.444,1
27,27,4,0,1,Driving Layup Shot,1.0,0.5,1
21,20,3,0,1,Hook Shot,-1.0,0.473,1
125,107,16,0,1,Pullup Jump shot,1.0,0.526,1
-151,122,19,0,1,Pullup Jump shot,-2.0,0.467,1
206,153,26,0,1,Jump Shot,3.0,0.358,1
-10,316,32,0,1,Jump Shot,3.0,0.314,1
134,247,28,1,1,Step Back Jump shot,3.0,0.387,1
-228,-18,0,1,1,Jump Shot,-3.0,0.316,1
23,67,7,0,1,Jump Shot,0.0,0.473,1
129,249,28,0,1,Jump Shot,-4.0,0.396,1
-12,47,5,1,1,Driving Finger Roll Layup Shot,0.0,0.467,0
49,53,7,0,1,Driving Floating Jump Shot,0.0,0.473,0
225,110,25,0,1,Jump Shot,-2.0,0.293,0
-29,18,3,1,1,Running Layup Shot,-2.0,0.526,0
-103,262,28,0,1,Jump Shot,2.0,0.366,0
21,44,5,1,1,Driving Layup Shot,-4.0,0.467,0
44,21,5,1,1,Driving Layup Shot,4.0,0.431,0
-50,53,7,0,1,Finger Roll Layup Shot,-6.0,0.467,0
-197,163,26,0,1,Jump Shot,-4.0,0.387,0
-154,231,28,0,1,Pullup Jump shot,3.0,0.337,0
23,29,4,0,1,Running Layup Shot,-3.0,0.469,0
210,197,29,0,1,Jump Shot,3.0,0.337,0
-113,64,13,0,1,Turnaround Jump Shot,-3.0,0.5,0
1,57,6,0,1,Driving Layup Shot,-3.0,0.473,0
-189,163,25,1,1,Jump Shot,-3.0,0.337,0
103,253,27,0,1,Jump Shot,-3.0,0.311,0
-7,277,28,0,1,Jump Shot,0.0,0.293,0
81,244,26,1,1,Jump Shot,0.0,0.311,0
-10,25,3,1,1,Dunk Shot,0.0,0.473,0
31,31,4,1,1,Driving Layup Shot,-3.0,0.431,0
-22,-4,2,0,1,Driving Layup Shot,5.0,0.47,0
