gameId,actionNumber,teamId,personId,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,location,actionType,subType,shotValue,actionId,scoreDiff,clutchFlag
0022400592,506,1610612759,1641705,V. Wembanyama,-17,20,3,1,1,105,88,v,Made Shot,Driving Dunk Shot,2,372,-19.0,0
0022400621,537,1610612759,1642264,S. Castle,-37,15,4,1,1,87,113,v,Made Shot,Driving Floating Bank Jump Shot,2,372,23.0,0
0022400633,508,1610612754,1630169,T. Haliburton,67,245,25,1,1,83,95,v,Made Shot,Pullup Jump shot,3,372,10.0,0
0022400734,527,1610612766,1631217,M. Diabaté,2,41,4,0,1,0,0,h,Missed Shot,Cutting Dunk Shot,2,372,0.0,0
0022400871,536,1610612760,1627936,A. Caruso,222,41,0,0,1,0,0,v,Missed Shot,Jump Shot,3,372,3.0,0
0022400888,524,1610612751,1630560,C. Thomas,162,197,26,1,1,101,83,v,Made Shot,Jump Shot,3,372,-21.0,0
0022400937,533,1610612742,203939,D. Powell,0,0,0,1,1,105,106,v,Made Shot,Tip Dunk Shot,2,372,0.0,0
0022400951,519,1610612759,1630577,J. Champagnie,-5,6,1,0,1,0,0,h,Missed Shot,Cutting Dunk Shot,2,372,11.0,0
0022401033,512,1610612761,1642266,J. Walter,225,85,24,0,1,0,0,h,Missed Shot,Running Jump Shot,3,372,-30.0,0
0022401110,492,1610612743,1628427,V. Čančar,205,171,27,1,1,85,88,h,Made Shot,Jump Shot,3,372,-4.0,0
0022401124,505,1610612739,1628378,D. Mitchell,174,172,24,0,1,0,0,v,Missed Shot,Step Back Bank Jump Shot,3,372,0.0,0
0022401139,534,1610612759,1629640,K. Johnson,16,16,2,0,1,0,0,v,Missed Shot,Driving Layup Shot,2,372,-13.0,0
0022400057,517,1610612756,1626220,R. O'Neale,211,139,25,0,1,0,0,h,Missed Shot,Jump Shot,3,373,0.0,0
0022400074,522,1610612742,1641726,D. Lively II,0,59,6,0,1,0,0,h,Missed Shot,Turnaround Hook Shot,2,373,0.0,0
0022400146,527,1610612750,1630183,J. McDaniels,229,26,0,0,1,0,0,v,Missed Shot,Jump Shot,3,373,0.0,0
0022400168,501,1610612746,1626181,N. Powell,-33,5,3,0,1,0,0,h,Missed Shot,Driving Floating Jump Shot,2,373,0.0,0
0022400269,537,1610612759,1631104,B. Wesley,-4,15,2,1,1,78,85,h,Made Shot,Driving Finger Roll Layup Shot,2,373,-9.0,0
0022400296,529,1610612747,1630559,A. Reaves,-233,1,0,0,1,0,0,v,Missed Shot,Jump Shot,3,373,10.0,0
0022400337,520,1610612758,1628368,D. Fox,-119,258,28,1,1,86,103,v,Made Shot,Jump Shot,3,373,0.0,0
0022400354,500,1610612759,1642264,S. Castle,-9,4,1,1,1,88,82,h,Made Shot,Driving Reverse Layup Shot,2,373,4.0,0
0022400394,517,1610612755,1630178,T. Maxey,-99,243,26,0,1,0,0,h,Missed Shot,Pullup Jump shot,3,373,0.0,0
0022400421,516,1610612751,1630553,K. Johnson,17,16,2,0,1,0,0,h,Missed Shot,Driving Layup Shot,2,373,-9.0,0
0022400441,520,1610612750,1628978,D. DiVincenzo,-75,273,28,0,1,0,0,h,Missed Shot,Pullup Jump shot,3,373,0.0,0
0022400451,490,1610612759,1629640,K. Johnson,-9,49,5,0,1,0,0,h,Missed Shot,Hook Shot,2,373,28.0,0
0022400516,500,1610612759,1629640,K. Johnson,0,0,0,1,1,98,83,v,Made Shot,Tip Dunk Shot,2,373,0.0,0
0022400537,520,1610612759,1642264,S. Castle,-23,31,4,1,1,103,87,v,Made Shot,Driving Layup Shot,2,373,-18.0,0
0022400552,528,1610612759,1642264,S. Castle,37,20,4,0,1,0,0,v,Missed Shot,Driving Reverse Layup Shot,2,373,1.0,0
0022400567,518,1610612759,1630200,T. Jones,9,22,2,0,1,0,0,h,Missed Shot,Driving Bank Hook Shot,2,373,0.0,0
0022400582,534,1610612763,1630590,S. Pippen Jr.,-156,194,25,0,1,0,0,v,Missed Shot,Jump Shot,3,373,17.0,0
0022400621,538,1610612754,1626167,M. Turner,-19,41,5,1,1,89,113,h,Made Shot,Cutting Dunk Shot,2,373,-26.0,0
0022400633,509,1610612759,1630200,T. Jones,12,6,1,0,1,0,0,h,Missed Shot,Driving Finger Roll Layup Shot,2,373,-12.0,0
0022400671,507,1610612759,1630577,J. Champagnie,12,4,1,0,1,0,0,h,Missed Shot,Driving Layup Shot,2,373,-3.0,0
0022400719,530,1610612759,1630170,D. Vassell,4,1,0,1,1,100,105,v,Made Shot,Driving Dunk Shot,2,373,6.0,0
0022400743,502,1610612759,1631110,J. Sochan,0,0,0,1,1,87,94,v,Made Shot,Tip Layup Shot,2,373,0.0,0
0022400757,523,1610612764,1627763,M. Brogdon,33,17,4,1,1,98,100,h,Made Shot,Putback Layup Shot,2,373,0.0,0
0022400818,501,1610612740,1630530,T. Murphy III,0,10,1,1,1,67,75,h,Made Shot,Running Alley Oop Dunk Shot,2,373,-10.0,0
0022400888,526,1610612759,1630577,J. Champagnie,121,215,25,1,1,104,83,h,Made Shot,Jump Shot,3,373,18.0,0
0022400910,514,1610612758,203897,Z. LaVine,-10,40,4,1,1,99,85,h,Made Shot,Driving Floating Jump Shot,2,373,18.0,0
0022400937,534,1610612759,1642264,S. Castle,146,227,27,0,1,0,0,h,Missed Shot,Jump Shot,3,373,-1.0,0
0022400964,519,1610612766,203552,S. Curry,-7,148,15,1,1,100,123,v,Made Shot,Pullup Jump shot,2,373,21.0,0
0022401155,505,1610612746,1626181,N. Powell,224,27,0,1,1,101,87,h,Made Shot,Jump Shot,3,373,0.0,0
0022401163,531,1610612744,202710,J. Butler III,44,52,7,1,1,90,81,h,Made Shot,Driving Floating Bank Jump Shot,2,373,7.0,0
0022401197,513,1610612761,1642419,J. Battle,-222,124,25,0,1,0,0,v,Missed Shot,Jump Shot,3,373,1.0,0
0022401218,513,1610612750,1629638,N. Alexander-Walker,165,198,26,0,1,0,0,v,Missed Shot,Jump Shot,3,373,0.0,0
0022400057,519,1610612759,101108,C. Paul,91,129,16,0,1,0,0,v,Missed Shot,Pullup Jump shot,2,375,0.0,0
0022400074,524,1610612759,1642264,S. Castle,-17,20,3,0,1,0,0,v,Missed Shot,Driving Floating Jump Shot,2,375,0.0,0
0022400094,507,1610612759,1641705,V. Wembanyama,-45,254,26,0,1,0,0,h,Missed Shot,Pullup Jump shot,3,375,17.0,0
0022400125,509,1610612760,1631114,J. Williams,47,32,6,0,1,0,0,h,Missed Shot,Turnaround Jump Shot,2,375,11.0,0
0022400146,529,1610612750,1629638,N. Alexander-Walker,-11,4,1,1,1,102,89,v,Made Shot,Layup Shot,2,375,0.0,0
0022400168,503,1610612759,1630572,S. Mamukelashvili,10,15,2,1,1,84,91,v,Made Shot,Cutting Layup Shot,2,375,0.0,0
0022400224,525,1610612764,1642273,K. George,-152,175,23,1,1,108,91,v,Made Shot,Pullup Jump shot,2,375,-19.0,0
0022400232,524,1610612759,1629640,K. Johnson,-29,11,3,0,1,0,0,v,Missed Shot,Driving Layup Shot,2,375,-19.0,0
0022400296,531,1610612759,1641705,V. Wembanyama,2,289,29,0,1,0,0,h,Missed Shot,Jump Shot,3,375,0.0,0
0022400370,515,1610612759,1630577,J. Champagnie,-225,3,0,1,1,85,80,h,Made Shot,Jump Shot,3,375,2.0,0
0022400386,507,1610612757,1630166,D. Avdija,-110,237,26,0,1,0,0,v,Missed Shot,Jump Shot,3,375,0.0,0
0022400441,523,1610612759,1641705,V. Wembanyama,-9,18,2,0,1,0,0,v,Missed Shot,Alley Oop Layup shot,2,375,0.0,0
0022400451,492,1610612746,1629599,A. Coffey,-223,5,0,0,1,0,0,v,Missed Shot,Jump Shot,3,375,0.0,0
0022400484,527,1610612743,1631124,J. Strawther,7,70,7,0,1,0,0,v,Missed Shot,Driving Floating Jump Shot,2,375,-10.0,0
0022400498,500,1610612741,1630581,J. Giddey,-7,4,1,1,1,84,97,h,Made Shot,Running Layup Shot,2,375,-15.0,0
0022400516,503,1610612759,1630577,J. Champagnie,-180,228,29,0,1,0,0,v,Missed Shot,Jump Shot,3,375,-15.0,0
0022400552,530,1610612747,1629629,C. Reddish,10,53,5,0,1,0,0,h,Missed Shot,Floating Jump shot,2,375,0.0,0
0022400582,536,1610612759,203084,H. Barnes,0,6,1,1,1,89,104,h,Made Shot,Dunk Shot,2,375,0.0,0
